type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	4012572_dbGaP_subject_id	dbGaP_subject_id	4012572	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	021ddd52-7add-5c06-b5f1-b700b5b1eed3		83ec2d26-0c9c-53d5-acc4-006342fea5e9	
synonym	5363354_dbGaP_subject_id	dbGaP_subject_id	5363354	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	05435119-9180-592f-afdf-7b4308e62046			819eea35-53d3-5bf9-b60e-77c4848ce8a2
synonym	5363361_dbGaP_subject_id	dbGaP_subject_id	5363361	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	05c7a406-cec5-50b8-9276-0d56ac9a4f5e			df2e9538-a58d-532f-b907-cbe4afc64143
synonym	5363339_dbGaP_subject_id	dbGaP_subject_id	5363339	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	05ff519f-c4be-5189-a33f-b29fc40aca30			91e85e78-e178-5a9d-a6ac-45d59465752b
synonym	4012583_dbGaP_subject_id	dbGaP_subject_id	4012583	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	0e58b876-b035-53b9-8cc8-b404277ffada		d7914477-5dde-5b69-8f64-1780a811b0b6	
synonym	5363350_dbGaP_subject_id	dbGaP_subject_id	5363350	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	204ce7ce-c351-529d-aa1a-5f6e8032c031			7b478169-8188-5094-9f33-a0f07508cc09
synonym	5363359_dbGaP_subject_id	dbGaP_subject_id	5363359	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	2307e36e-8017-5eb5-90d9-4c2d8984fe3e			e566267d-8fc8-567b-b9c2-38679980a755
synonym	4012593_dbGaP_subject_id	dbGaP_subject_id	4012593	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	24c2cc5c-705e-5f7d-94d6-257e0dffe741		f6f62c73-1671-59a4-9551-e7cc8c64fac0	
synonym	4012585_dbGaP_subject_id	dbGaP_subject_id	4012585	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	2aa8ab7b-f317-51a7-9aec-95d93cd4ad45		8bca8830-2713-50fd-bf93-f9234d133659	
synonym	5363362_dbGaP_subject_id	dbGaP_subject_id	5363362	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	2cd8fa91-ac8e-5e1c-932a-dce97192d285			46805c80-44bc-593f-8508-55e8b12d5591
synonym	4012598_dbGaP_subject_id	dbGaP_subject_id	4012598	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	36342b54-7071-58de-9330-8b5121c0cf04		2d17e784-4063-58d4-8b27-57f0ea2bc227	
