file_id	file_name	file_type	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	type	sample.sample_id	study.phs_accession	participant.study_participant_id
dg.4DFC/05cdcfe0-4687-11ee-9c45-7bf3614b7806	TWGD-CPT0189650015-XBa1_S1_L001_I1_001.fastq.gz	FASTQ	1575680455	64aa61bb6785ff5ba36ee8d244158d22	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0189650015-XBa1_S1_L001_I1_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0189650015_Glioblastoma	phs001287	phs001287_C3L-02705
dg.4DFC/05ceba9a-4687-11ee-8dfe-abb365a8498f	TWGD-CPT0189650015-XBa1_S1_L001_R1_001.fastq.gz	FASTQ	7656910385	77250daa2c2439c69c610909f2644c43	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0189650015-XBa1_S1_L001_R1_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0189650015_Glioblastoma	phs001287	phs001287_C3L-02705
dg.4DFC/05cee15a-4687-11ee-9448-67934bc616e0	TWGD-CPT0189650015-XBa1_S1_L001_R2_001.fastq.gz	FASTQ	3950581949	01d3f1912d120b6ae0488700765ab0d0	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0189650015-XBa1_S1_L001_R2_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0189650015_Glioblastoma	phs001287	phs001287_C3L-02705
dg.4DFC/05cf0838-4687-11ee-9114-9351edef495a	TWGD-CPT0189650015-XBa1_S1_L001_R3_001.fastq.gz	FASTQ	7880679688	e0746e80a463259a0c1f61871cff49bd	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0189650015-XBa1_S1_L001_R3_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0189650015_Glioblastoma	phs001287	phs001287_C3L-02705
dg.4DFC/05cf2dc2-4687-11ee-ae85-2f1d435dfe41	TWCE-CPT0224600013-XBA1_1_S4_L001_R1_001.fastq.gz	FASTQ	10804638639	3dd029143acaad9907f99a3e53f17417	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWCE-CPT0224600013-XBA1_1_S4_L001_R1_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0224600013_Glioblastoma	phs001287	phs001287_C3L-03405
dg.4DFC/05cf543c-4687-11ee-843c-9b9eb88fc027	TWCE-CPT0224600013-XBA1_1_S4_L001_R2_001.fastq.gz	FASTQ	5733664082	f72d8ae2ebb59bd7d2b0282f71a11a66	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWCE-CPT0224600013-XBA1_1_S4_L001_R2_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0224600013_Glioblastoma	phs001287	phs001287_C3L-03405
dg.4DFC/05cf7976-4687-11ee-9df3-97c9b0759845	TWCE-CPT0224600013-XBA1_1_S4_L001_R3_001.fastq.gz	FASTQ	26179736075	d1ce6d92bdcafe9c248efa8c2c7a31fe	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWCE-CPT0224600013-XBA1_1_S4_L001_R3_001.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0224600013_Glioblastoma	phs001287	phs001287_C3L-03405
dg.4DFC/05cf9fa0-4687-11ee-99bd-c3dca282c716	TWGD-CPT0228220004-XBA1_1_S9_L001_R1_002.fastq.gz	FASTQ	10793319286	f737beba92bdd84cb129a818ad52d27f	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0228220004-XBA1_1_S9_L001_R1_002.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0228220004_Glioblastoma	phs001287	phs001287_C3L-03968
dg.4DFC/05cfc4d0-4687-11ee-a70e-83d84f4f9625	TWGD-CPT0228220004-XBA1_1_S9_L001_R2_002.fastq.gz	FASTQ	5720935008	0469c9734cc2d9eabc8fcd6191e55c87	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0228220004-XBA1_1_S9_L001_R2_002.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0228220004_Glioblastoma	phs001287	phs001287_C3L-03968
dg.4DFC/05cfebe0-4687-11ee-8563-6f1a7aef02d1	TWGD-CPT0228220004-XBA1_1_S9_L001_R3_002.fastq.gz	FASTQ	25741040015	24b340838b6adde6e94bcff721d6fc98	s3://cds-296-phs001287/snATAC-seq-phs001287.v17.p6/TWGD-CPT0228220004-XBA1_1_S9_L001_R3_002.fastq.gz	RNA-Seq|WXS	phs001287.v17.p6	file	CPT0228220004_Glioblastoma	phs001287	phs001287_C3L-03968
