sample_id	sample_type	type	participant.study_participant_id	sample_tumor_status
HTA12_24_2_DNA	DNA	sample	phs002371_HTA12_24	Not specified in data
HTA1_862_7059320_RNA	RNA	sample	phs002371_HTA1_862	Not specified in data
HTA10_04_104_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_514_6760601_RNA	RNA	sample	phs002371_HTA1_514	Not specified in data
HTA10_04_202_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA7_1_64_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_589_2860320_RNA	RNA	sample	phs002371_HTA1_589	Not specified in data
HTA10_04_005_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_126_81201_RNA	RNA	sample	phs002371_HTA1_126	Not specified in data
HTA7_1_135_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_4255_2000001011_DNA	DNA	sample	phs002371_HTA11_4255	Not specified in data
HTA1_148_141201_RNA	RNA	sample	phs002371_HTA1_148	Not specified in data
HTA11_99999970781_79443_DNA	DNA	sample	phs002371_HTA11_99999970781	Not specified in data
HTA10_11_112_RNA	RNA	sample	phs002371_HTA10_11	Not specified in data
HTA1_244_451203_RNA	RNA	sample	phs002371_HTA1_244	Not specified in data
HTA1_159_171101_RNA	RNA	sample	phs002371_HTA1_159	Not specified in data
HTA1_356_1261201_RNA	RNA	sample	phs002371_HTA1_356	Not specified in data
HTA1_613_3121101_RNA	RNA	sample	phs002371_HTA1_613	Not specified in data
HTA7_1_237_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_123_51201_RNA	RNA	sample	phs002371_HTA1_123	Not specified in data
HTA11_4781_2000001011_DNA	DNA	sample	phs002371_HTA11_4781	Not specified in data
HTA1_997_7789601_RNA	RNA	sample	phs002371_HTA1_997	Not specified in data
HTA10_04_109_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA10_04_006_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA11_6298_2000002011_RNA	RNA	sample	phs002371_HTA11_6298	Not specified in data
HTA1_663_3631101_RNA	RNA	sample	phs002371_HTA1_663	Not specified in data
HTA1_870_7089320_RNA	RNA	sample	phs002371_HTA1_870	Not specified in data
HTA1_223_7537320_RNA	RNA	sample	phs002371_HTA1_223	Not specified in data
HTA1_811_6832201_RNA	RNA	sample	phs002371_HTA1_811	Not specified in data
HTA1_352_1231201_RNA	RNA	sample	phs002371_HTA1_352	Not specified in data
HTA10_04_002_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA7_1_188_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA10_04_208_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_225_6756320_RNA	RNA	sample	phs002371_HTA1_225	Not specified in data
HTA10_08_008_RNA	RNA	sample	phs002371_HTA10_08	Not specified in data
HTA11_99999959460_84226_DNA	DNA	sample	phs002371_HTA11_99999959460	Not specified in data
HTA11_8920_2000009901_DNA	DNA	sample	phs002371_HTA11_8920	Not specified in data
HTA7_1_36_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999970781_79442_DNA	DNA	sample	phs002371_HTA11_99999970781	Not specified in data
HTA1_244_451202_RNA	RNA	sample	phs002371_HTA1_244	Not specified in data
HTA1_274_4891101_RNA	RNA	sample	phs002371_HTA1_274	Not specified in data
HTA11_6801_2000001011_RNA	RNA	sample	phs002371_HTA11_6801	Not specified in data
HTA1_727_3781101_RNA	RNA	sample	phs002371_HTA1_727	Not specified in data
HTA1_114_21201_RNA	RNA	sample	phs002371_HTA1_114	Not specified in data
HTA7_1_128_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA10_04_010_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_163_181101_RNA	RNA	sample	phs002371_HTA1_163	Not specified in data
HTA12_23_5_RNA	RNA	sample	phs002371_HTA12_23	Not specified in data
HTA1_168_221101_RNA	RNA	sample	phs002371_HTA1_168	Not specified in data
HTA1_613_3126301_RNA	RNA	sample	phs002371_HTA1_613	Not specified in data
HTA1_261_4801101_RNA	RNA	sample	phs002371_HTA1_261	Not specified in data
HTA7_1_228_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_236_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_696_2000009901_DNA	DNA	sample	phs002371_HTA11_696	Not specified in data
HTA11_1391_2000009901_DNA	DNA	sample	phs002371_HTA11_1391	Not specified in data
HTA7_1_56_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_172_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_800_6783201_RNA	RNA	sample	phs002371_HTA1_800	Not specified in data
HTA1_316_991303_RNA	RNA	sample	phs002371_HTA1_316	Not specified in data
HTA10_22_002_RNA	RNA	sample	phs002371_HTA10_22	Not specified in data
HTA11_99999974143_84620_DNA	DNA	sample	phs002371_HTA11_99999974143	Not specified in data
HTA7_1_208_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_423_1741101_RNA	RNA	sample	phs002371_HTA1_423	Not specified in data
HTA11_4255_2000002021_RNA	RNA	sample	phs002371_HTA11_4255	Not specified in data
HTA10_04_203_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA11_7862_2000001011_RNA	RNA	sample	phs002371_HTA11_7862	Not specified in data
HTA7_1_70_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_7179_2000001011_RNA	RNA	sample	phs002371_HTA11_7179	Not specified in data
HTA7_1_139_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_527_6767201_RNA	RNA	sample	phs002371_HTA1_527	Not specified in data
HTA1_211_6751320_RNA	RNA	sample	phs002371_HTA1_211	Not specified in data
HTA1_835_6999320_RNA	RNA	sample	phs002371_HTA1_835	Not specified in data
HTA11_4255_2000009901_DNA	DNA	sample	phs002371_HTA11_4255	Not specified in data
HTA10_04_106_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA7_1_115_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_254_571101_RNA	RNA	sample	phs002371_HTA1_254	Not specified in data
HTA7_1_234_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_521_6763320_RNA	RNA	sample	phs002371_HTA1_521	Not specified in data
HTA10_12_113_RNA	RNA	sample	phs002371_HTA10_12	Not specified in data
HTA1_377_1411201_RNA	RNA	sample	phs002371_HTA1_377	Not specified in data
HTA11_7862_2000002021_RNA	RNA	sample	phs002371_HTA11_7862	Not specified in data
HTA11_7663_2000001011_RNA	RNA	sample	phs002371_HTA11_7663	Not specified in data
HTA10_04_001_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_223_6755320_RNA	RNA	sample	phs002371_HTA1_223	Not specified in data
HTA1_232_6759320_RNA	RNA	sample	phs002371_HTA1_232	Not specified in data
HTA7_1_52_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_889_7269320_RNA	RNA	sample	phs002371_HTA1_889	Not specified in data
HTA11_7862_2000001011_DNA	DNA	sample	phs002371_HTA11_7862	Not specified in data
HTA10_04_102_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA1_437_1861201_RNA	RNA	sample	phs002371_HTA1_437	Not specified in data
HTA1_975_4774201_RNA	RNA	sample	phs002371_HTA1_975	Not specified in data
HTA10_18_013_RNA	RNA	sample	phs002371_HTA10_18	Not specified in data
HTA7_1_136_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_197_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_120_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_130_91201_RNA	RNA	sample	phs002371_HTA1_130	Not specified in data
HTA11_7029_2000002011_RNA	RNA	sample	phs002371_HTA11_7029	Not specified in data
HTA12_26_1_RNA	RNA	sample	phs002371_HTA12_26	Not specified in data
HTA7_1_223_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_218_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_944_7479320_RNA	RNA	sample	phs002371_HTA1_944	Not specified in data
HTA7_1_190_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_730_6151201_RNA	RNA	sample	phs002371_HTA1_730	Not specified in data
HTA11_6801_2000002021_RNA	RNA	sample	phs002371_HTA11_6801	Not specified in data
HTA1_735_3841101_RNA	RNA	sample	phs002371_HTA1_735	Not specified in data
HTA11_3918_2000002011_RNA	RNA	sample	phs002371_HTA11_3918	Not specified in data
HTA1_908_4412101_RNA	RNA	sample	phs002371_HTA1_908	Not specified in data
HTA1_829_6975201_RNA	RNA	sample	phs002371_HTA1_829	Not specified in data
HTA7_1_62_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_6025_2000001011_DNA	DNA	sample	phs002371_HTA11_6025	Not specified in data
HTA1_756_6779202_RNA	RNA	sample	phs002371_HTA1_756	Not specified in data
HTA1_947_7509320_RNA	RNA	sample	phs002371_HTA1_947	Not specified in data
HTA7_1_229_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_293_5041101_RNA	RNA	sample	phs002371_HTA1_293	Not specified in data
HTA7_1_48_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_191_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_811_6833201_RNA	RNA	sample	phs002371_HTA1_811	Not specified in data
HTA11_10623_2000001011_DNA	DNA	sample	phs002371_HTA11_10623	Not specified in data
HTA10_03_001_RNA	RNA	sample	phs002371_HTA10_03	Not specified in data
HTA1_951_4652202_RNA	RNA	sample	phs002371_HTA1_951	Not specified in data
HTA1_364_1321101_RNA	RNA	sample	phs002371_HTA1_364	Not specified in data
HTA11_6801_2000009901_DNA	DNA	sample	phs002371_HTA11_6801	Not specified in data
HTA1_285_751101_RNA	RNA	sample	phs002371_HTA1_285	Not specified in data
HTA1_324_5101101_RNA	RNA	sample	phs002371_HTA1_324	Not specified in data
HTA10_10_023_RNA	RNA	sample	phs002371_HTA10_10	Not specified in data
HTA7_1_213_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_61_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_347_2000009901_DNA	DNA	sample	phs002371_HTA11_347	Not specified in data
HTA1_198_281201_RNA	RNA	sample	phs002371_HTA1_198	Not specified in data
HTA10_04_204_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA11_3331_2000001011_DNA	DNA	sample	phs002371_HTA11_3331	Not specified in data
HTA10_04_008_RNA	RNA	sample	phs002371_HTA10_04	Not specified in data
HTA11_866_3004762011_RNA	RNA	sample	phs002371_HTA11_866	Not specified in data
HTA1_646_5911201_RNA	RNA	sample	phs002371_HTA1_646	Not specified in data
HTA11_6818_2000002011_RNA	RNA	sample	phs002371_HTA11_6818	Not specified in data
HTA1_203_332102_RNA	RNA	sample	phs002371_HTA1_203	Not specified in data
HTA1_542_5731201_RNA	RNA	sample	phs002371_HTA1_542	Not specified in data
HTA7_1_94_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_233_361201_RNA	RNA	sample	phs002371_HTA1_233	Not specified in data
HTA7_1_163_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_330_1082101_RNA	RNA	sample	phs002371_HTA1_330	Not specified in data
HTA1_124_61201_RNA	RNA	sample	phs002371_HTA1_124	Not specified in data
HTA11_11156_2000001021_RNA	RNA	sample	phs002371_HTA11_11156	Not specified in data
HTA1_194_251201_RNA	RNA	sample	phs002371_HTA1_194	Not specified in data
HTA7_1_50_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_11156_2000001011_RNA	RNA	sample	phs002371_HTA11_11156	Not specified in data
HTA1_745_3961101_RNA	RNA	sample	phs002371_HTA1_745	Not specified in data
HTA1_659_3542101_RNA	RNA	sample	phs002371_HTA1_659	Not specified in data
HTA11_866_2000001011_DNA	DNA	sample	phs002371_HTA11_866	Not specified in data
HTA1_951_4652201_RNA	RNA	sample	phs002371_HTA1_951	Not specified in data
HTA11_866_2000009101_DNA	DNA	sample	phs002371_HTA11_866	Not specified in data
HTA11_4255_2000002011_RNA	RNA	sample	phs002371_HTA11_4255	Not specified in data
HTA7_1_186_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_8920_2000001011_RNA	RNA	sample	phs002371_HTA11_8920	Not specified in data
HTA7_1_123_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_141_119201_RNA	RNA	sample	phs002371_HTA1_141	Not specified in data
HTA7_1_169_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_806_6800101_RNA	RNA	sample	phs002371_HTA1_806	Not specified in data
HTA11_2235_2000009901_DNA	DNA	sample	phs002371_HTA11_2235	Not specified in data
HTA1_636_3332301_RNA	RNA	sample	phs002371_HTA1_636	Not specified in data
HTA7_1_195_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_193_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA10_08_015_RNA	RNA	sample	phs002371_HTA10_08	Not specified in data
HTA1_672_8509101_RNA	RNA	sample	phs002371_HTA1_672	Not specified in data
HTA7_1_91_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
